_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7629863,16488,BP-27107,348,Davenport Rd,Davenport Rd,East,Dupont St,South,,11.0,,Ring,Existing,0,312729.783,4837269.149,-79.401657332,43.675326731999995,"{u'type': u'Point', u'coordinates': (-79.4016573374, 43.6753267355)}"
7629864,16489,BP-27109,35,Prince Arthur Ave,Prince Arthur Ave,South,Bedford Rd,East,,11.0,,Ring,Existing,0,313100.729,4836607.905,-79.397067158,43.669370623999995,"{u'type': u'Point', u'coordinates': (-79.3970671627, 43.6693706217)}"
7629865,16490,BP-23429,2216A,Queen St E,Queen St E,North,Spruce Hill Rd,East,,19.0,The Beach,Ring,Existing,0,321870.19,4836979.558999999,-79.28831062,43.67256633,"{u'type': u'Point', u'coordinates': (-79.28831062, 43.6725663344)}"
7629866,16491,BP-31295,589,Markham St,Markham St,East,Lennox St,North,,11.0,Mirvish Village,Ring,Existing,0,311905.13,4835980.34,-79.411901378,43.663734091,"{u'type': u'Point', u'coordinates': (-79.4119013805, 43.6637340937)}"
7629867,16492,BP-31313,6,Gore St,Gore St,North,Ln 1 W Clinton N Gore,East,,11.0,,Ring,Existing,0,311719.333,4834970.004,-79.414218076,43.654641468,"{u'type': u'Point', u'coordinates': (-79.4142180785, 43.6546414709)}"
7629868,16493,BP-31318,2388,Yonge St,Yonge St,West,Broadway Ave,South,,8.0,Uptown Yonge,Ring,Temporarily Removed,0,312936.781,4841056.944,-79.399033031,43.709419503999996,"{u'type': u'Point', u'coordinates': (-79.3990330344, 43.7094195051)}"
7629869,16494,BP-31360,250,Dundas St W,Dundas St W,North,St Patrick St,East,,11.0,,Ring,Existing,0,313673.785,4834965.395,-79.389988013,43.65457923,"{u'type': u'Point', u'coordinates': (-79.3899880187, 43.6545792335)}"
7629870,16495,BP-31374,488,University Ave,Dundas St W,North,Simcoe St,North,,11.0,,Ring,Existing,0,313753.603,4835020.06,-79.38899758,43.655070329,"{u'type': u'Point', u'coordinates': (-79.3889975774, 43.655070335)}"
7629871,16496,BP-31376,176,Elm St,Elm St,North,Simcoe St,East,,11.0,,Ring,Existing,0,313704.157,4835155.407,-79.38960835600001,43.656289231,"{u'type': u'Point', u'coordinates': (-79.389608352, 43.6562892324)}"
7629872,16497,BP-31383,176,Elm St,Elm St,North,Simcoe St,East,,11.0,,Ring,Existing,0,313698.91,4835155.133,-79.389673411,43.656286831,"{u'type': u'Point', u'coordinates': (-79.3896734075, 43.6562868289)}"
7629873,16498,BP-31388,176,Elm St,Elm St,North,Simcoe St,East,,11.0,,Ring,Existing,0,313701.56,4835155.227,-79.389640548,43.656287643,"{u'type': u'Point', u'coordinates': (-79.3896405519, 43.6562876433)}"
7629874,16499,BP-31398,176,Elm St,Elm St,North,Simcoe St,East,,11.0,,Ring,Existing,0,313706.752,4835155.813,-79.389576178,43.656292855,"{u'type': u'Point', u'coordinates': (-79.3895761732, 43.6562928559)}"
7629875,16500,BP-31421,4864A,Yonge St,Yonge St,West,Greenfield Ave,South,,18.0,,Ring,Existing,0,311927.964,4847002.544,-79.41147232899999,43.762947498,"{u'type': u'Point', u'coordinates': (-79.4114723296, 43.7629475003)}"
7629876,16501,BP-31426,5201,Yonge St,Yonge St,East,Parkview Ave,South,,18.0,,Ring,Existing,0,311799.07399999996,4847851.145,-79.413062053,43.770587127,"{u'type': u'Point', u'coordinates': (-79.4130620498, 43.7705871282)}"
7629877,16502,BP-31428,37,Sheppard Ave E,Sheppard Ave E,South,Doris Ave,West,,18.0,,Ring,Existing,0,312120.13800000004,4846874.968,-79.409087315,43.761797287,"{u'type': u'Point', u'coordinates': (-79.4090873147, 43.7617972931)}"
7629878,16503,BP-31430,Jul-25,Spring Garden Ave,Spring Garden Ave,South,Yonge St,East,,18.0,,Ring,Existing,0,312002.897,4847173.715,-79.410539379,43.764487513999995,"{u'type': u'Point', u'coordinates': (-79.4105393842, 43.7644875152)}"
7629879,16504,BP-31431,35,Sheppard Ave E,Sheppard Ave E,South,Doris Ave,West,,18.0,,Ring,Existing,0,312110.202,4846871.353999999,-79.409210764,43.761764856999996,"{u'type': u'Point', u'coordinates': (-79.4092107642, 43.761764861)}"
7629880,16505,BP-31434,5111,Yonge St,Yonge St,East,Hillcrest Ave,North,,18.0,,Ring,Existing,0,311845.391,4847598.702,-79.412490045,43.768314403999995,"{u'type': u'Point', u'coordinates': (-79.4124900438, 43.7683144087)}"
7629881,16506,BP-31447,5075,Yonge St,Yonge St,East,Hillcrest Ave,North,,18.0,,Ring,Existing,0,311856.261,4847547.04,-79.412355702,43.767849289,"{u'type': u'Point', u'coordinates': (-79.412355708, 43.7678492871)}"
7629882,16507,BP-31450,4922A,Yonge St,Yonge St,West,Spring Garden Ave,West,,18.0,,Ring,Existing,0,311898.831,4847155.334,-79.411832136,43.764323065,"{u'type': u'Point', u'coordinates': (-79.4118321345, 43.764323069)}"
7629883,16509,BP-31471,131,Finch Ave W,Finch Ave W,South,Routliffe Lane,East,,18.0,,Ring,Existing,0,310722.443,4848582.23,-79.426427187,43.777177132,"{u'type': u'Point', u'coordinates': (-79.4264271816, 43.7771771301)}"
7629884,16510,BP-31477,5025,Yonge St,Elmwood Ave,North,Yonge St,East,,18.0,,Ring,Existing,0,311895.30600000004,4847419.021000001,-79.411872431,43.766696596,"{u'type': u'Point', u'coordinates': (-79.4118724308, 43.7666965939)}"
7629885,16511,BP-31486,6,Spring Garden Ave,Spring Garden Ave,North,Yonge St,East,,18.0,,Ring,Existing,0,311964.856,4847177.592,-79.411011802,43.76452277600001,"{u'type': u'Point', u'coordinates': (-79.4110118045, 43.7645227815)}"
7629886,16512,BP-31489,4858A,Yonge St,Yonge St,West,Harlandale Ave,North,,18.0,,Ring,Existing,0,311930.967,4846983.491,-79.411435286,43.762775968,"{u'type': u'Point', u'coordinates': (-79.4114352861, 43.7627759721)}"
7629887,16513,BP-31490,1030,Queen St E,Queen St E,North,Boston Ave,East,,14.0,Leslieville,Ring,Existing,0,317829.494,4835739.633,-79.33844946100001,43.661487197,"{u'type': u'Point', u'coordinates': (-79.3384494621, 43.661487202)}"
7629888,16514,BP-31497,765,Queen St E,Queen St E,South,Saulter St,West,,14.0,Riverside District,Ring,Existing,0,317086.38399999996,4835493.992,-79.347668713,43.659288759,"{u'type': u'Point', u'coordinates': (-79.3476687172, 43.65928876)}"
7629889,16515,BP-31508,774,Queen St E,Queen St E,North,Saulter St,North,,14.0,Riverside District,Ring,Existing,0,317102.084,4835514.201,-79.347473604,43.659470404,"{u'type': u'Point', u'coordinates': (-79.3474736028, 43.659470408)}"
7629890,16516,BP-31518,781,Queen St E,Queen St E,South,Boulton Ave,West,,14.0,Riverside District,Ring,Existing,0,317137.36,4835510.068,-79.347036336,43.659432616000004,"{u'type': u'Point', u'coordinates': (-79.3470363321, 43.6594326212)}"
7629891,16517,BP-31549,787,Queen St E,Queen St E,South,Strange St,West,,14.0,Riverside District,Ring,Existing,0,317180.49199999997,4835523.249,-79.346501265,43.65955055,"{u'type': u'Point', u'coordinates': (-79.3465012634, 43.6595505507)}"
7629892,16518,BP-31553,888,Queen St E,Queen St E,North,Booth Ave,East,,14.0,Leslieville,Ring,Existing,0,317427.817,4835615.442,-79.343432671,43.660376245,"{u'type': u'Point', u'coordinates': (-79.343432675, 43.66037625)}"
7629893,16519,BP-31555,1056,Queen St E,Queen St E,North,Pape Ave,East,,14.0,Leslieville,Ring,Existing,0,317930.13800000004,4835771.428,-79.33720083,43.661771624,"{u'type': u'Point', u'coordinates': (-79.3372008254, 43.6617716282)}"
7629894,16520,BP-31556,955,Queen St E,Queen St E,South,Ln S Queen W Heward,North,,14.0,Leslieville,Ring,Existing,0,317758.322,4835702.757,-79.339332795,43.661156508999994,"{u'type': u'Point', u'coordinates': (-79.3393327937, 43.6611565134)}"
7629895,16521,BP-31583,93,Winnifred Ave,Queen St E,South,Brooklyn Ave,West,,14.0,Leslieville,Ring,Existing,0,318017.808,4835782.673,-79.33611354199999,43.661871295,"{u'type': u'Point', u'coordinates': (-79.3361135435, 43.6618712947)}"
7629896,16522,BP-31593,835,Queen St E,Queen St E,South,Empire Ave,East,,14.0,Leslieville,Ring,Existing,0,317363.348,4835580.15,-79.344232825,43.660059666,"{u'type': u'Point', u'coordinates': (-79.3442328191, 43.6600596676)}"
7629897,16523,BP-21974,25,Lower Simcoe St,Lower Simcoe St,East,Grand Trunk Cres,South,,10.0,Toronto Entertainment District,Ring,Existing,0,314204.223,4833494.765,-79.38343757,43.641335066,"{u'type': u'Point', u'coordinates': (-79.3834375738, 43.6413350656)}"
7629898,16524,BP-21976,363,Front St W,Front St W,South,Blue Jays Way,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313523.52,4833698.647,-79.391871365,43.643178574,"{u'type': u'Point', u'coordinates': (-79.3918713695, 43.643178572)}"
7629899,16525,BP-21983,255,Bremner Blvd,Bremner Blvd,South,Lower Simcoe St,West,,10.0,Toronto Entertainment District,Ring,Existing,0,314037.1,4833569.617,-79.385507734,43.642010925,"{u'type': u'Point', u'coordinates': (-79.3855077279, 43.6420109285)}"
7629900,16527,BP-21990,33,Lower Simcoe St,Lower Simcoe St,East,Grand Trunk Cres,North,,10.0,Toronto Entertainment District,Ring,Existing,0,314186.042,4833552.618,-79.383661914,43.641856049,"{u'type': u'Point', u'coordinates': (-79.3836619163, 43.6418560506)}"
7629901,16528,BP-21993,299,Front St W,Front St W,South,John St,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313749.151,4833769.074,-79.389073497,43.643809828,"{u'type': u'Point', u'coordinates': (-79.3890734964, 43.6438098309)}"
7629902,16529,BP-22078,281,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10.0,The Waterfront,Ring,Existing,0,313912.255,4833195.64,-79.387061457,43.63864616,"{u'type': u'Point', u'coordinates': (-79.387061463, 43.6386461664)}"
7629903,16530,BP-21999,339,Queens Quay W,Queens Quay W,South,Lower Spadina Ave,East,,10.0,The Waterfront,Ring,Existing,0,313782.606,4833059.358,-79.388670613,43.63742102,"{u'type': u'Point', u'coordinates': (-79.3886706124, 43.6374210187)}"
7629904,16531,BP-22003,19,Orde St,Murray St,West,Orde St,South,,11.0,,Ring,Existing,0,313557.94899999996,4835372.518,-79.391417476,43.658245253000004,"{u'type': u'Point', u'coordinates': (-79.3914174797, 43.6582452572)}"
7629905,16532,BP-22004,180,Mc Caul St,Mc Caul St,West,Ln N Baldwin W Mc Caul,South,,11.0,,Ring,Existing,0,313475.497,4835178.0,-79.392442862,43.656495303,"{u'type': u'Point', u'coordinates': (-79.392442857, 43.6564953021)}"
7629906,16533,BP-22005,60,Murray St,Murray St,West,Orde St,South,,11.0,,Ring,Existing,0,313565.818,4835347.977,-79.391320314,43.658024263,"{u'type': u'Point', u'coordinates': (-79.3913203172, 43.6580242628)}"
7629907,16534,BP-22016,311X,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10.0,The Waterfront,Ring,Existing,0,313862.794,4833157.802,-79.387675125,43.638306175,"{u'type': u'Point', u'coordinates': (-79.3876751228, 43.6383061768)}"
7629908,16535,BP-22021,319,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10.0,The Waterfront,Ring,Existing,0,313875.244,4833123.998,-79.387521381,43.638001738,"{u'type': u'Point', u'coordinates': (-79.3875213845, 43.638001743)}"
7629909,16536,BP-22027,339,Queens Quay W,Queens Quay W,South,Lower Spadina Ave,East,,10.0,The Waterfront,Ring,Existing,0,313787.382,4833060.093,-79.388611404,43.637427579,"{u'type': u'Point', u'coordinates': (-79.3886114071, 43.6374275771)}"
7629910,16537,BP-22028,19,Orde St,Murray St,West,Orde St,South,,11.0,,Ring,Existing,0,313560.065,4835365.572,-79.391391355,43.65818271,"{u'type': u'Point', u'coordinates': (-79.391391358, 43.658182709)}"
7629911,16538,BP-22042,235,Mc Caul St,Mc Caul St,East,Orde St,South,,11.0,,Ring,Existing,0,313439.702,4835336.956,-79.392884092,43.657926531,"{u'type': u'Point', u'coordinates': (-79.3928840924, 43.6579265349)}"
7629912,16539,BP-22057,311X,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10.0,The Waterfront,Ring,Existing,0,313845.30100000004,4833174.907,-79.387891646,43.63846035899999,"{u'type': u'Point', u'coordinates': (-79.3878916455, 43.6384603579)}"
7629913,16540,BP-22084,3,Baldwin St,Baldwin St,South,Mc Caul St,West,,11.0,,Ring,Existing,0,313470.718,4835142.304,-79.392502679,43.656174044,"{u'type': u'Point', u'coordinates': (-79.3925026792, 43.6561740461)}"
7629914,16541,BP-22087,339,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10.0,The Waterfront,Ring,Existing,0,313751.136,4833144.444,-79.389059234,43.638187282,"{u'type': u'Point', u'coordinates': (-79.3890592382, 43.638187288)}"
7629915,16542,BP-22108,318,Queens Quay W,Queens Quay W,North,Rees St,West,,10.0,The Waterfront,Ring,Existing,0,313860.342,4833207.1680000005,-79.387704684,43.63875057,"{u'type': u'Point', u'coordinates': (-79.3877046854, 43.6387505679)}"
7629916,16543,BP-22111,500,University Ave,Simcoe St,East,University Ave,West,,11.0,,Ring,Existing,0,313720.752,4835050.133,-79.389404346,43.655341425,"{u'type': u'Point', u'coordinates': (-79.3894043506, 43.6553414269)}"
7629917,16544,BP-22149,255,Bremner Blvd,Bremner Blvd,South,Rees St,East,,10.0,Toronto Entertainment District,Ring,Existing,0,313973.082,4833542.897,-79.386301676,43.641771198,"{u'type': u'Point', u'coordinates': (-79.3863016721, 43.6417712042)}"
7629918,16545,BP-22158,96,Gerrard St E,Gerrard St E,North,Mutual St,West,,13.0,,Ring,Existing,0,314699.665,4835590.785,-79.377258323,43.66019563,"{u'type': u'Point', u'coordinates': (-79.3772583213, 43.6601956279)}"
7629919,16546,BP-22168,125,Bond St,Bond St,East,Ln S Gould E Bond,North,,13.0,,Ring,Existing,0,314580.269,4835291.786,-79.378744074,43.657505814,"{u'type': u'Point', u'coordinates': (-79.3787440738, 43.6575058198)}"
7629920,16547,BP-22205,385,Church St,Granby St,North,Church St,East,,13.0,,Ring,Existing,0,314567.961,4835721.498,-79.37888889,43.661373958,"{u'type': u'Point', u'coordinates': (-79.3788888938, 43.6613739597)}"
7629921,16548,BP-22322,302,Church St,Church St,West,Ln S Gould E Bond,East,,13.0,,Ring,Existing,0,314668.836,4835289.929,-79.37764605,43.657487933,"{u'type': u'Point', u'coordinates': (-79.3776460552, 43.6574879343)}"
7629922,16549,BP-22231,90,Queen St E,Mutual St,East,Queen St E,North,,13.0,,Ring,Existing,0,314941.218,4834870.617,-79.374276937,43.653709906,"{u'type': u'Point', u'coordinates': (-79.3742769425, 43.6537099037)}"
7629923,16550,BP-22243,133,Dundas St E,Dundas St E,South,Mutual St,West,,13.0,,Ring,Existing,0,314801.203,4835200.385,-79.376006636,43.656680148,"{u'type': u'Point', u'coordinates': (-79.3760066299, 43.656680151)}"
7629924,16551,BP-22248,491,Bay St,Bay St,East,Hagerman St,South,,13.0,Downtown Yonge,Ring,Existing,0,314246.048,4834901.711,-79.38289457,43.653998943000005,"{u'type': u'Point', u'coordinates': (-79.3828945658, 43.6539989447)}"
7629925,16552,BP-22249,88,Mutual St,Mutual St,West,Ln S Dundas W Jarvis,West,,13.0,,Ring,Existing,0,314837.05,4835174.678,-79.375562682,43.656448265,"{u'type': u'Point', u'coordinates': (-79.3755626832, 43.6564482709)}"
7629926,16553,BP-22253,25,Mutual St,Mutual St,East,Richard Bigley Lane,North,,13.0,,Ring,Existing,0,314922.037,4834940.123,-79.374513425,43.654335811,"{u'type': u'Point', u'coordinates': (-79.3745134306, 43.6543358117)}"
7629927,16554,BP-22271,825,Bay St,Bay St,East,Grenville St,North,,13.0,Downtown Yonge,Ring,Existing,0,313997.208,4835770.633,-79.38596469699999,43.661823518999995,"{u'type': u'Point', u'coordinates': (-79.3859647012, 43.6618235183)}"
7629928,16555,BP-20540,516,Church St,Church St,West,Maitland St,South,,13.0,Church-Wellesley Village,Ring,Existing,0,314434.826,4836069.739,-79.380533387,43.664510325,"{u'type': u'Point', u'coordinates': (-79.3805333902, 43.664510326)}"
7629929,16556,BP-20545,70,Alexander St,Church St,West,Alexander St,North,,13.0,Church-Wellesley Village,Ring,Existing,0,314455.328,4835999.963,-79.38028043,43.663881982,"{u'type': u'Point', u'coordinates': (-79.3802804252, 43.663881984)}"
7629930,16557,BP-20552,459,Church St,Church St,East,Alexander St,North,,13.0,Church-Wellesley Village,Ring,Existing,0,314462.609,4836028.495,-79.380189638,43.664138713,"{u'type': u'Point', u'coordinates': (-79.3801896352, 43.6641387151)}"
7629931,16558,BP-20554,66,Alexander St,Alexander St,North,Church St,West,,13.0,Church-Wellesley Village,Ring,Existing,0,314446.92600000004,4835975.676,-79.380385034,43.663663476,"{u'type': u'Point', u'coordinates': (-79.3803850382, 43.663663478)}"
7629932,16559,BP-20579,99,Carlton St,Carlton St,South,Mutual St,East,,13.0,,Ring,Existing,0,314678.724,4835809.823,-79.377513945,43.662167536999995,"{u'type': u'Point', u'coordinates': (-79.377513951, 43.6621675383)}"
7629933,16560,BP-20617,958,Bay St,Bay St,West,Wellesley St W,North,,11.0,,Ring,Existing,0,313877.715,4836090.216,-79.387440908,43.664701656000005,"{u'type': u'Point', u'coordinates': (-79.3874409061, 43.6647016567)}"
7629934,16561,BP-20638,919,Bay St,Bay St,East,Wellesley St W,South,,13.0,,Ring,Existing,0,313927.283,4836001.2530000005,-79.386827796,43.663900266999995,"{u'type': u'Point', u'coordinates': (-79.3868277934, 43.6639002652)}"
7629935,16562,BP-20652,375,University Ave,University Ave,East,Armoury St,North,,10.0,,Ring,Existing,0,313878.11199999996,4834842.78,-79.387456954,43.653473063999996,"{u'type': u'Point', u'coordinates': (-79.3874569583, 43.6534730685)}"
7629936,16563,BP-20656,375,University Ave,University Ave,East,Armoury St,North,,10.0,,Ring,Existing,0,313869.511,4834868.908,-79.387563145,43.653708358,"{u'type': u'Point', u'coordinates': (-79.3875631475, 43.6537083604)}"
7629937,16564,BP-20676,160,Queen St W,University Ave,West,Pullan Pl,East,,10.0,,Ring,Existing,0,313906.206,4834602.44,-79.387112726,43.65130934,"{u'type': u'Point', u'coordinates': (-79.3871127247, 43.6513093429)}"
7629938,16565,BP-20677,330,University Ave,University Ave,West,Pullan Pl,East,,10.0,,Ring,Existing,0,313906.555,4834606.355,-79.38710833100001,43.651344576999996,"{u'type': u'Point', u'coordinates': (-79.3871083322, 43.6513445789)}"
7629939,16566,BP-20686,400,University Ave,University Ave,West,Armoury St,North,,10.0,,Ring,Existing,0,313833.554,4834840.021000001,-79.388009397,43.653448775,"{u'type': u'Point', u'coordinates': (-79.3880093972, 43.6534487763)}"
7629940,16567,BP-20697,426,University Ave,University Ave,West,Dundas St W,South,,10.0,,Ring,Existing,0,313806.562,4834927.733,-79.388342558,43.654238623999994,"{u'type': u'Point', u'coordinates': (-79.3883425585, 43.6542386291)}"
7629941,16568,BP-20718,393,University Ave,Centre Ave,West,Armoury St,North,,10.0,,Ring,Existing,0,313931.368,4834900.557,-79.386795757,43.653992488,"{u'type': u'Point', u'coordinates': (-79.3867957581, 43.653992487)}"
7629942,16569,BP-20740,169,Dundas St W,Chestnut St,West,Dundas St W,South,,10.0,,Ring,Existing,0,313998.265,4835001.116,-79.385964703,43.654896828000005,"{u'type': u'Point', u'coordinates': (-79.3859647052, 43.6548968281)}"
7629943,16570,BP-20741,124,Chestnut St,Chestnut St,West,Dundas St W,South,,10.0,,Ring,Existing,0,313997.605,4835003.179,-79.38597285,43.654915405,"{u'type': u'Point', u'coordinates': (-79.3859728524, 43.654915406)}"
7629944,16571,BP-20753,180,Richmond St W,University Ave,West,Richmond St W,North,,10.0,Financial District,Ring,Existing,0,313942.455,4834485.574,-79.386665328,43.650256946999995,"{u'type': u'Point', u'coordinates': (-79.3866653342, 43.6502569473)}"
7629945,16573,BP-20766,20,Queen St W,James St,East,Albert St,South,,13.0,Downtown Yonge,Ring,Existing,0,314406.94,4834770.716,-79.38090227800001,43.652817751,"{u'type': u'Point', u'coordinates': (-79.3809022748, 43.6528177538)}"
7629946,16574,BP-20772,55,Bond St,Bond St,East,Shuter St,South,,13.0,,Ring,Existing,0,314697.31,4834908.841,-79.377300024,43.654057256,"{u'type': u'Point', u'coordinates': (-79.3773000198, 43.6540572563)}"
7629947,16575,BP-20796,25,Bond St,Bond St,East,Queen St E,North,,13.0,,Ring,Existing,0,314718.54600000003,4834839.455,-79.37703802600001,43.653432409,"{u'type': u'Point', u'coordinates': (-79.3770380255, 43.6534324068)}"
7629948,16580,BP-20947,76,Wychwood Ave,Wychwood Ave,West,Helena Ave,North,,12.0,,Ring,Existing,0,311030.397,4837798.92,-79.42272644399999,43.680111553,"{u'type': u'Point', u'coordinates': (-79.4227264447, 43.6801115568)}"
7629949,16581,BP-20845,37,Shuter St,Victoria St,East,Shuter St,South,,13.0,,Ring,Existing,0,314598.86699999997,4834900.929,-79.378520591,43.65398734,"{u'type': u'Point', u'coordinates': (-79.3785205886, 43.6539873412)}"
7629950,16582,BP-20847,2,Shuter St,Shuter St,North,O'Keefe Lane,West,,13.0,Downtown Yonge,Ring,Existing,0,314517.727,4834927.52,-79.379526024,43.654227762,"{u'type': u'Point', u'coordinates': (-79.3795260241, 43.6542277602)}"
7629951,16583,BP-20853,223,Yonge St,Shuter St,South,Yonge St,East,,13.0,Downtown Yonge,Ring,Existing,0,314506.915,4834909.276000001,-79.379660386,43.65406368,"{u'type': u'Point', u'coordinates': (-79.3796603918, 43.654063681)}"
7629952,16584,BP-20884,288,Bremner Blvd,Bremner Blvd,North,Lower Simcoe St,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313994.082,4833574.279,-79.386040847,43.642053424,"{u'type': u'Point', u'coordinates': (-79.3860408483, 43.6420534256)}"
7629953,16585,BP-20887,335,Bremner Blvd,Navy Wharf Crt,West,Bremner Blvd,North,,10.0,Toronto Entertainment District,Ring,Existing,0,313536.093,4833459.422,-79.391719399,43.641025068999994,"{u'type': u'Point', u'coordinates': (-79.391719394, 43.6410250745)}"
7629954,16586,BP-20894,230,Front St W,Front St W,North,Simcoe St,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313965.762,4833855.945,-79.38638709199999,43.644589151999995,"{u'type': u'Point', u'coordinates': (-79.3863870915, 43.6445891506)}"
7629955,16587,BP-20910,230,Front St W,Front St W,North,Simcoe St,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313955.179,4833853.149,-79.386518324,43.644564112,"{u'type': u'Point', u'coordinates': (-79.3865183187, 43.6445641131)}"
7629956,16588,BP-27141,267,St George St,St George St,East,Bernard Ave,North,,11.0,,Ring,Existing,0,312670.845,4837061.004,-79.402391306,43.673453783999996,"{u'type': u'Point', u'coordinates': (-79.4023913035, 43.6734537843)}"
7629957,16589,BP-27167,170,Avenue Rd,Pears Ave,South,Avenue Rd,West,,11.0,,Ring,Existing,0,313090.932,4837283.248,-79.397178268,43.675449705,"{u'type': u'Point', u'coordinates': (-79.3971782719, 43.675449704)}"
7629958,16590,BP-27168,40,Bedford Rd,Lowther Ave,South,Bedford Rd,West,,11.0,,Ring,Existing,0,312976.401,4836701.101,-79.398607478,43.67021088600001,"{u'type': u'Point', u'coordinates': (-79.3986074722, 43.6702108862)}"
7629959,16591,BP-27180,225,St George St,St George St,East,Bernard Ave,South,,11.0,,Ring,Existing,0,312719.469,4836960.396000001,-79.40178978600001,43.672547664,"{u'type': u'Point', u'coordinates': (-79.4017897805, 43.6725476638)}"
7629960,16592,BP-27181,277,St George St,St George St,East,Admiral Rd,South,,11.0,,Ring,Existing,0,312640.479,4837114.381,-79.402767099,43.673934568,"{u'type': u'Point', u'coordinates': (-79.4027671051, 43.6739345682)}"
7629961,16593,BP-23435,2161,Queen St E,Queen St E,South,Wheeler Ave,East,,19.0,The Beach,Ring,Existing,0,321040.81,4836721.808,-79.298603556,43.670264833000005,"{u'type': u'Point', u'coordinates': (-79.2986035504, 43.6702648315)}"
7629962,16594,BP-23439,1706,Danforth Ave,Danforth Ave,North,Drayton Ave,West,,19.0,Danforth Mosaic,Ring,Existing,0,319275.279,4838256.303,-79.320455972,43.684113712,"{u'type': u'Point', u'coordinates': (-79.3204559741, 43.6841137184)}"
7629963,16595,BP-23922,27,Front St E,Front St E,South,Scott St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314862.152,4834193.054,-79.375269765,43.647611998,"{u'type': u'Point', u'coordinates': (-79.3752697622, 43.6476120029)}"
7629964,16596,BP-23337,1910,Gerrard St E,Gerrard St E,North,Glenmore Rd,West,,19.0,,Ring,Existing,0,319954.067,4837839.774,-79.312048375,43.680350892,"{u'type': u'Point', u'coordinates': (-79.3120483805, 43.6803508974)}"
7629965,16597,BP-23339,2198,Gerrard St E,Gerrard St E,North,Enderby Rd,East,,19.0,,Ring,Existing,0,320829.262,4838227.5139999995,-79.301182125,43.683822676999995,"{u'type': u'Point', u'coordinates': (-79.3011821211, 43.6838226817)}"
7629966,16599,BP-23364,80,Queensdale Ave,Queensdale Ave,North,Bonnie Brae Blvd,South,,14.0,,Ring,Existing,0,318481.293,4838585.522,-79.33029577100001,43.68709215,"{u'type': u'Point', u'coordinates': (-79.3302957764, 43.6870921504)}"
7629967,16600,BP-23367,80,Queensdale Ave,Queensdale Ave,North,Bonnie Brae Blvd,South,,14.0,,Ring,Existing,0,318476.578,4838583.9969999995,-79.330354295,43.68707851,"{u'type': u'Point', u'coordinates': (-79.3303543002, 43.6870785102)}"
7629968,16601,BP-23883,61,Dockside Dr,Dockside Dr,West,Queens Quay E,South,,10.0,,Ring,Existing,0,315642.95,4833893.87,-79.365597041,43.64490797,"{u'type': u'Point', u'coordinates': (-79.3655970355, 43.6449079749)}"
7629969,16606,BP-25772,936,Bathurst St,Bathurst St,West,Follis Ave,South,,11.0,,Ring,Existing,0,311830.69,4836562.257,-79.412816804,43.668972821000004,"{u'type': u'Point', u'coordinates': (-79.4128168025, 43.6689728258)}"
7629970,16610,BP-25802,1025,Bathurst St,Bathurst St,East,Vermont Ave,South,,11.0,,Ring,Existing,0,311772.581,4836822.058,-79.413534021,43.671311921000004,"{u'type': u'Point', u'coordinates': (-79.413534018, 43.6713119249)}"
7629971,16611,BP-25811,986A,Bathurst St,Bathurst St,West,Wells St,North,,11.0,,Ring,Existing,0,311794.333,4836689.741,-79.413265988,43.670120693,"{u'type': u'Point', u'coordinates': (-79.41326599, 43.6701206931)}"
7629972,16612,BP-25813,511,Bloor St W,Borden St,West,Bloor St W,South,,11.0,Bloor Annex,Ring,Existing,0,312160.941,4836183.353,-79.40872674399999,43.665558993000005,"{u'type': u'Point', u'coordinates': (-79.4087267391, 43.6655589917)}"
7629973,16613,BP-25827,425,Bloor St W,Bloor St W,South,Robert St,East,,11.0,Bloor Annex,Ring,Existing,0,312457.299,4836272.075,-79.40505074,43.666354614,"{u'type': u'Point', u'coordinates': (-79.4050507429, 43.666354614)}"
7629974,16614,BP-25836,507,Bloor St W,Bloor St W,South,Borden St,East,,11.0,Bloor Annex,Ring,Existing,0,312190.06899999996,4836194.887,-79.408365401,43.665662523,"{u'type': u'Point', u'coordinates': (-79.4083654039, 43.665662524)}"
7629975,16615,BP-25856,507,Bloor St W,Bloor St W,South,Borden St,East,,11.0,Bloor Annex,Ring,Existing,0,312192.658,4836195.674,-79.408333291,43.665669576000006,"{u'type': u'Point', u'coordinates': (-79.4083332904, 43.6656695824)}"
