id,street_address,latitude,longitude
BP-18884,1087 Yonge St,43.67955713600001,-79.390502975
BP-18937,499 Bathurst St,43.65697831600001,-79.407813754
BP-18938,499 Bathurst St,43.656999678000005,-79.407824145
BP-18939,499 Bathurst St,43.65702734,-79.407834101
BP-18944,178 St George St,43.668574995,-79.40033004
BP-18946,178 St George St,43.668532369,-79.400313403
BP-18115,994 Dundas St W,43.650441565,-79.41551207
BP-18116,994 Dundas St W,43.650447662,-79.415478983
BP-18117,994 Dundas St W,43.65045349,-79.415447153
BP-18133,101 College St,43.659961881,-79.389448548
BP-14079,819 Bathurst St,43.666055125,-79.41133239199999
BP-08550,2 Sussex Ave,43.665600633000004,-79.399126271
BP-16336,257 College St,43.657947358,-79.399349767
BP-11883,262 Bloor St W,43.668164093,-79.399919199
BP-14238,819 Bathurst St,43.666051141000004,-79.411331613
BP-18778,675 Bloor St W,43.66394437899999,-79.416321736
BP-18780,745 Bloor St W,43.663322068,-79.41919401199999
BP-18781,745 Bloor St W,43.663317775,-79.41922099899999
BP-18782,745 Bloor St W,43.663313296999995,-79.419246541
BP-25834,1081 Bathurst St,43.67270378600001,-79.414071998
BP-22493,150 Gerrard St W,43.658024993999994,-79.387665175
BP-24992,248 Bloor St W,43.667897028999995,-79.398392484
BP-22683,20 St George St,43.659316015,-79.396562305
BP-30309,873 1/2 Bloor St W,43.662024616000004,-79.425125392
BP-25815,371 Bloor St W,43.66684559,-79.402566583
BP-43999,499 College St,43.655970686,-79.409743566
BP-34258,29 Bellair St,43.671154723,-79.390927832
BP-30270,703 College St,43.655143062,-79.418042596
BP-16573,2 Sussex Ave,43.665643644,-79.399144349
BP-18881,1087 Yonge St,43.679740068,-79.39057640899999
BP-18882,1087 Yonge St,43.67972799,-79.390571933
BP-18885,1087 Yonge St,43.679537716999995,-79.39049509
BP-22267,860 Bay St,43.662353633,-79.386616907
BP-32435,502 Spadina Ave,43.658575408999994,-79.400488593
BP-23773,140 Charles St W,43.667515838999996,-79.392641887
BP-12566,440 College St,43.656652498999996,-79.407669306
BP-19252,1094 Bathurst St,43.672831888999994,-79.414329308
BP-16008,284 Dupont St,43.674991205,-79.407315283
BP-27577,250 College St,43.658289059,-79.398479939
BP-23761,20 Charles St E,43.668902722,-79.38505046600001
BP-25070,366 Bloor St W,43.666318309,-79.405842045
BP-27762,554 College St,43.655708538,-79.411921212
BP-27673,184-200 College St,43.65891310600001,-79.395230086
BP-26678,83 Albany Ave,43.668365853999994,-79.411082442
BP-22688,110 St George St,43.663445353,-79.398309498
BP-24028,40 Dundas St W,43.656189338999994,-79.381908636
BP-32958,559 Huron St,43.67134858,-79.40308545399999
BP-04011,180 Elizabeth St,43.657424008999996,-79.386180699
BP-19008,62 Cumberland St,43.670693446,-79.38948551600001
BP-07015,819 Bathurst St,43.666066225,-79.411337863
BP-13682,542 College St,43.65587549600001,-79.411539577
BP-44015,599 Markham St,43.664232582,-79.41209747
BP-27104,75 Prince Arthur Ave,43.668733111,-79.400012708
BP-26403,560 Palmerston Ave,43.665089609,-79.413887605
BP-31387,18 Orde St,43.658298845,-79.39202829199999
BP-22588,88 Elm St,43.657112736,-79.385561969
BP-35541,155 College St,43.659286826999995,-79.392699785
BP-22484,136 Edward St,43.655658378999995,-79.387944726
BP-44012,237 Clinton St,43.660390215,-79.41561887
